,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_date,wait_min,cleanliness,safety,satisfaction
496,1142,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,60,Somewhat clean,Somewhat safe,Somewhat satsified
497,2317,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,315,Average,Very safe,Neutral
498,1249,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,120,Clean,Very safe,Very satisfied
499,2655,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,117,Average,Somewhat safe,Neutral
500,2604,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,2018-12-31,120,Clean,Somewhat safe,Somewhat satsified
501,1510,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,2018-12-31,120,Somewhat clean,Very safe,Neutral
502,1232,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,105,Clean,Very safe,Very satisfied
503,2322,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,2018-12-31,705,Average,Very safe,Neutral
504,2487,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,159,Clean,Very safe,Somewhat satsified
505,2243,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,65,Average,Neutral,Neutral
506,1449,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,202,Clean,Very safe,Very satisfied
507,2032,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,105,Somewhat clean,Somewhat safe,Somewhat satsified
508,1588,Wednesday,UNITED INTL,HONG KONG,Asia,Hub     ,Gates 91-102,2018-12-31,120,Clean,Somewhat safe,Very satisfied
509,3194,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,464,Clean,Very safe,Very satisfied
510,3116,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,215,Somewhat clean,Neutral,Somewhat satsified
511,2920,Thursday,DELTA,SEATTLE,West US,    Hub,Gates 40-48,2018-12-31,180,Dirty,Neutral,Very unsatisfied
512,1440,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,220,Somewhat clean,Very safe,Neutral
513,1596,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,210,Somewhat clean,Somewhat safe,Somewhat satsified
514,2207,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,180,Clean,Very safe,Somewhat satsified
515,2651,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,162,Somewhat clean,Very safe,Very satisfied
516,2133,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,125,Somewhat clean,Neutral,Somewhat satsified
517,343,Friday,ALASKA,SAN DIEGO,West US,    Medium,Gates 50-59,2018-12-31,156,Somewhat clean,Neutral,Somewhat satsified
518,1455,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,220,Average,Very safe,Somewhat satsified
519,901,Friday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,2018-12-31,140,Somewhat clean,Very safe,Neutral
520,1186,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,75,Somewhat clean,Neutral,Neutral
521,554,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,265,Average,Very safe,Somewhat satsified
522,333,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,66,Clean,Somewhat safe,Somewhat satsified
523,2437,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,220,Somewhat clean,Somewhat safe,Somewhat satsified
524,3012,Tuesday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,150,Clean,Very safe,Neutral
525,1666,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,205,Somewhat clean,Neutral,Somewhat satsified
526,2008,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,90,Clean,Very safe,Very satisfied
527,2998,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,63,Average,Very safe,Somewhat satsified
528,3111,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,183,Clean,Very safe,Very satisfied
529,577,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,103,Clean,Neutral,Very satisfied
530,3163,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,75,Clean,Very safe,Very satisfied
531,2956,Tuesday,AMERICAN,NEW YORK-JFK,EAST US,Hub     ,Gates 50-59,2018-12-31,130,Somewhat clean,Very safe,Somewhat satsified
532,874,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,100,Clean,Very safe,Somewhat satsified
533,3177,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,120,Average,Somewhat safe,Neutral
534,831,Sunday,ALASKA,NASHVILLE,Midwest US,Medium,Gates 50-59,2018-12-31,96,Clean,Very safe,Very satisfied
535,2379,Wednesday,UNITED INTL,BEIJING,Asia,    Hub,Gates 91-102,2018-12-31,250,Somewhat clean,Somewhat safe,Very satisfied
536,2006,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,170,Somewhat clean,Very safe,Somewhat satsified
537,3239,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,95,Clean,Very safe,Very satisfied
538,2825,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,93,Clean,Very safe,Very satisfied
539,2201,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,165,Clean,Very safe,Somewhat satsified
540,644,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,125,Clean,Very safe,Somewhat satsified
541,1286,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,120,Clean,Very safe,Very satisfied
542,3042,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,150,Clean,Very safe,Very satisfied
543,336,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,96,Clean,Very safe,Somewhat satsified
544,2426,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,85,Somewhat clean,Somewhat safe,Somewhat satsified
545,3225,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,214,Somewhat clean,Somewhat safe,Neutral
546,1598,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,150,Clean,Very safe,Somewhat satsified
547,2552,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,63,Somewhat clean,Neutral,Somewhat satsified
548,2802,Tuesday,SOUTHWEST,PHOENIX,West US,Hub     ,Gates 20-39,2018-12-31,120,Clean,Very safe,Somewhat satsified
549,3128,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,75,Clean,Very safe,Very satisfied
550,945,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,90,Somewhat clean,Somewhat safe,Somewhat satsified
551,2564,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,93,Somewhat clean,Somewhat safe,Somewhat satsified
552,1707,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,210,Average,Very safe,Somewhat satsified
553,2873,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,180,Average,Very safe,Somewhat satsified
554,2540,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,63,Somewhat clean,Very safe,Somewhat satsified
555,462,Sunday,ALASKA,LAS VEGAS,West US,Hub,Gates 50-59,2018-12-31,90,Clean,Very safe,Somewhat satsified
556,1873,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,205,Somewhat clean,Very safe,Somewhat satsified
557,1016,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,155,Somewhat clean,Somewhat safe,Somewhat satsified
558,370,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,    Small,Gates 50-59,2018-12-31,195,Somewhat clean,Somewhat safe,Somewhat satsified
559,2151,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,155,Clean,Very safe,Very satisfied
560,1872,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,295,Somewhat clean,Very safe,Somewhat satsified
561,1576,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,125,Somewhat clean,Very safe,Neutral
562,2541,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,120,Somewhat clean,Very safe,Somewhat satsified
563,1301,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,156,Somewhat clean,Somewhat safe,Very satisfied
564,3040,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub     ,Gates 50-59,2018-12-31,155,Somewhat clean,Very safe,Somewhat satsified
565,1360,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,Hub     ,Gates 91-102,2018-12-31,225,Average,Somewhat safe,Somewhat satsified
566,2469,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,121,Average,Very safe,Somewhat unsatisfied
567,543,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,165,Somewhat clean,Very safe,Somewhat satsified
568,2925,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,250,Clean,Very safe,Somewhat satsified
569,2685,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,100,Somewhat clean,Very safe,Somewhat satsified
570,2268,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,155,Somewhat clean,Somewhat safe,Somewhat satsified
571,2041,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,180,Average,Somewhat safe,Somewhat unsatisfied
572,2167,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,333,Clean,Very safe,Very satisfied
573,3088,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,97,Clean,Very safe,Somewhat satsified
574,2948,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,135,Clean,Very safe,Somewhat satsified
575,443,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,113,Clean,Somewhat safe,Somewhat satsified
576,278,Thursday,UNITED,BALTIMORE,EAST US,Medium     ,Gates 70-90,2018-12-31,134,Somewhat clean,Somewhat safe,Neutral
577,2457,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub     ,Gates 60-69,2018-12-31,154,Clean,Very safe,Neutral
578,1526,Wednesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,101,Somewhat clean,Somewhat safe,Neutral
579,2689,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,150,Somewhat clean,Very safe,Neutral
580,3055,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,335,Average,Somewhat safe,Somewhat satsified
581,2136,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,380,Clean,Neutral,Neutral
582,1450,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,82,Clean,Very safe,Very satisfied
583,2415,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,190,Clean,Somewhat safe,Somewhat satsified
584,729,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,245,Somewhat clean,Somewhat safe,Neutral
585,2232,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60,Somewhat clean,Very safe,Somewhat satsified
586,1452,Wednesday,UNITED,LAS VEGAS,West US,    Hub,Gates 60-69,2018-12-31,82,Clean,Very safe,Very satisfied
587,1705,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,225,Somewhat clean,Somewhat safe,Somewhat satsified
588,1543,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,170,Average,Very safe,Neutral
589,618,Tuesday,ALASKA,WASHINGTON DC-DULLES,EAST US,    Medium,Gates 50-59,2018-12-31,155,Clean,Very safe,Somewhat satsified
590,1726,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,105,Clean,Very safe,Somewhat satsified
591,2209,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub     ,Gates 20-39,2018-12-31,135,Somewhat clean,Somewhat safe,Neutral
592,1786,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,135,Somewhat clean,Very safe,Somewhat satsified
593,2625,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,120,Somewhat clean,Very safe,Somewhat satsified
594,1760,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,145,Average,Somewhat safe,Somewhat satsified
595,2732,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,270,Somewhat clean,Somewhat safe,Neutral
596,711,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185,Somewhat clean,Somewhat safe,Neutral
597,943,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,135,Somewhat clean,Very safe,Somewhat satsified
598,1910,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,140,Somewhat clean,Neutral,Very satisfied
599,2027,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,150,Average,Very safe,Somewhat satsified
600,365,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,105,Somewhat clean,Somewhat safe,Somewhat satsified
601,3005,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,2018-12-31,100,Average,Somewhat safe,Somewhat satsified
602,1502,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,2018-12-31,150,Average,Somewhat safe,Somewhat satsified
603,2621,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,2018-12-31,125,Clean,Very safe,Very satisfied
604,1639,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170,Clean,Very safe,Somewhat satsified
605,2733,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,160,Clean,Somewhat safe,Neutral
606,2021,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,160,Average,Neutral,Neutral
607,629,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,140,Somewhat clean,Very safe,Somewhat satsified
608,3026,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,120,Clean,Very safe,Very satisfied
609,1671,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,125,Somewhat clean,Somewhat safe,Very satisfied
610,3248,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,75,Clean,Very safe,Very satisfied
611,684,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,230,Somewhat clean,Very safe,Somewhat satsified
612,1905,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,128,Somewhat clean,Neutral,Somewhat satsified
613,774,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,220,Somewhat clean,Very safe,Neutral
614,2917,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,15,Clean,Very safe,Very satisfied
615,1459,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,85,Clean,Neutral,Very satisfied
616,1178,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,2018-12-31,115,Somewhat clean,Very safe,Somewhat satsified
617,2691,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,2018-12-31,367,Average,Neutral,Neutral
618,857,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,154,Clean,Somewhat safe,Somewhat satsified
619,3148,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,60,Somewhat clean,Somewhat safe,Somewhat satsified
620,1519,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,115,Somewhat clean,Very safe,Somewhat satsified
621,1126,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,105,Average,Very safe,Somewhat satsified
622,3269,Tuesday,UNITED,LAS VEGAS,West US,    Hub,Gates 70-90,2018-12-31,85,Average,Somewhat safe,Neutral
623,1960,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,165,Somewhat clean,Neutral,Neutral
624,2545,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,83,Somewhat clean,Very safe,Neutral
625,2582,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90,Somewhat clean,Somewhat safe,Neutral
626,358,Friday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,80,Somewhat clean,Somewhat safe,Neutral
627,2912,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,60,Somewhat clean,Somewhat safe,Somewhat satsified
628,2030,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,150,Somewhat clean,Somewhat safe,Somewhat unsatisfied
629,2242,Wednesday,WOW,REYKJAVIK,eur,Small     ,Gates 91-102,2018-12-31,156,Somewhat clean,Somewhat safe,Neutral
630,2556,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,108,Somewhat clean,Somewhat safe,Neutral
631,853,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,85,Somewhat clean,Somewhat safe,Very satisfied
632,3168,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,110,Clean,Somewhat safe,Very satisfied
633,2234,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60,Clean,Very safe,Somewhat satsified
634,2765,Sunday,WOW,REYKJAVIK,eur,Small     ,Gates 1-12,2018-12-31,175,Somewhat clean,Very safe,Somewhat satsified
635,3092,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,173,Average,Somewhat safe,Neutral
636,285,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,2018-12-31,164,Average,Somewhat safe,Neutral
637,1480,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,130,Somewhat clean,Somewhat safe,Somewhat satsified
638,3175,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,60,Clean,Very safe,Somewhat satsified
639,2770,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,90,Somewhat clean,Very safe,Somewhat satsified
640,3033,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,150,Somewhat clean,Somewhat safe,Somewhat satsified
641,1661,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,150,Average,Neutral,Very satisfied
642,2634,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,60,Somewhat clean,Somewhat safe,Neutral
643,1987,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145,Average,Neutral,Neutral
644,1861,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,145,Somewhat clean,Very safe,Somewhat satsified
645,1278,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,320,Average,Somewhat safe,Somewhat satsified
646,1841,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,2018-12-31,300,Clean,Very safe,Very satisfied
647,341,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,98,Clean,Somewhat safe,Somewhat satsified
648,1978,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,155,Clean,Somewhat safe,Very satisfied
649,319,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,60,Clean,Neutral,Very satisfied
650,1636,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,2018-12-31,195,Clean,Very safe,Somewhat satsified
651,3292,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,145,Clean,Very safe,Very satisfied
652,3203,Tuesday,UNITED,ONTARIO (CALIF),West US,Small,Gates 70-90,2018-12-31,245,Clean,Very safe,Very satisfied
653,1898,Monday,LUFTHANSA,MUNICH,eur,    Hub,Gates 91-102,2018-12-31,235,Somewhat dirty,Neutral,Neutral
654,633,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,95,Somewhat clean,Somewhat safe,Neutral
655,1385,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,235,Clean,Very safe,Very satisfied
656,2069,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,177,Clean,Somewhat safe,Somewhat satsified
657,299,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,130,Average,Neutral,Neutral
658,2730,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,122,Somewhat clean,Very safe,Somewhat satsified
659,1676,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185,Somewhat clean,Very safe,Somewhat satsified
660,3282,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,80,Somewhat clean,Very safe,Somewhat satsified
661,2112,Tuesday,AMERICAN,PHOENIX,West US,    Hub,Gates 50-59,2018-12-31,121,Somewhat clean,Very safe,Very satisfied
662,1986,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145,Average,Somewhat safe,Somewhat satsified
663,2595,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,147,Somewhat clean,Somewhat safe,Somewhat satsified
664,814,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,185,Clean,Very safe,Very satisfied
665,2551,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,135,Average,Very safe,Neutral
666,1965,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185,Somewhat clean,Somewhat safe,Somewhat satsified
667,2640,Tuesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,2018-12-31,113,Average,Somewhat safe,Very unsatisfied
668,395,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,205,Somewhat clean,Very safe,Somewhat satsified
669,728,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,2018-12-31,185,Clean,Very safe,Very satisfied
670,1215,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,55,Clean,Somewhat safe,Somewhat satsified
671,2314,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,2018-12-31,150,Clean,Somewhat safe,Somewhat satsified
672,1718,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,210,Average,Somewhat safe,Neutral
673,2383,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,    Hub,Gates 91-102,2018-12-31,215,Clean,Very safe,Somewhat satsified
674,584,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,95,Clean,Neutral,Somewhat satsified
675,1770,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,    Hub,Gates 50-59,2018-12-31,85,Clean,Very safe,Somewhat satsified
676,642,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,125,Somewhat clean,Neutral,Neutral
677,1865,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,505,Clean,Somewhat safe,Somewhat satsified
678,2100,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,49,Somewhat clean,Very safe,Somewhat satsified
679,2647,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,132,Somewhat clean,Neutral,Neutral
680,1982,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,2018-12-31,265,Average,Somewhat safe,Neutral
681,1973,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,125,Clean,Very safe,Very satisfied
682,310,Tuesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,2018-12-31,95,Clean,Very safe,Somewhat satsified
683,2386,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,215,Somewhat clean,Very safe,Very satisfied
684,295,Wednesday,SOUTHWEST,LOS ANGELES,West US,    Hub,Gates 20-39,2018-12-31,190,Average,Neutral,Neutral
685,2301,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,175,Somewhat clean,Somewhat safe,Somewhat satsified
686,1253,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195,Somewhat clean,Somewhat safe,Very satisfied
687,1649,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170,Somewhat clean,Very safe,Somewhat satsified
688,3279,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,125,Somewhat clean,Neutral,Somewhat satsified
689,863,Tuesday,ALASKA,SEATTLE,West US,Hub     ,Gates 50-59,2018-12-31,65,Somewhat clean,Very safe,Neutral
690,2771,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,150,Somewhat clean,Very safe,Somewhat satsified
